English,Japanese
PATIENT IS A 20 YEAR OLD MALE! HE FELL OFF HIS MOTORCYCLE ROUGHLY 30 MINUTES AGO.,患者は20歳の男性!!30分程前にバイクで転倒
HIS LEFT LEG IS SHATTERED!,左足が折れています!!
,
"GET ME HIS BLOOD COUNT, BLOOD TYPE, AND A COMPREHENSIVE CHEMICAL BREAKDOWN! STAT!",血算　生化と血液型を大至急!!
AND BRING ME 10 PACKS OF PRBCS!!,濃厚赤血球を10パック取り寄せろ!!
,
EIROKU GRAD!,永大出!!
"GIVE HIM A LACTEC INFECTION AND 1,000 MILLIGRAMS OF HYDROCODONE!",ラクテック全開ハイドロコーン1000ミリ側管注しろ!!
,
"HURRY IT UP, EIROKU!!!",遅いぞ!!永大出!!
"THEN, WHEN YOU'RE DONE, CROSSMATCH HIS BLOOD!!",終わったら血液交差適合試験しろ!!
,
SORRY…,すいません...
I WASN'T ABLE TO HELP AT ALL IN THERE…,なんの役にも立てませんでした...
,
YOU AIN'T GOT TIME TO BE DEPRESSED.,落ち込んでるヒマなんかねーぞ
,
THE NIGHT'S…,始まるのは...
JUST STARTING.,これからだ...
,
MR. USHIDA!,牛田さん!!
HER BLOOD PRESSURE'S DROPPING!!,血圧が下がったいます!!
,
JUST SHUT UP AND GIVE HER THE TRANSFUSION!,いいからだまって輸血しろ!!
"IF SHE CAN SCREAM THAT DAMN MUCH, THEN SHE'LL BE ALRIGHT!",こんだけ暴れる元気がありゃ大丈夫だよ!!
,
I'VE GOT AN ACCIDENT VICTIM!,事故です!!
"HIS HEART BEAT IS IRREGULAR, AND HE'S HAVING TROUBLE BREATHING!",患者は胸を打って呼吸がうまくできないそうです!!
,
WE'VE GOT A MALE IN HIS 60S!,60代の男性!!
HE'S STILL UNCONSCIOUS FROM A HEADON COLLISION AT A STOP LIGHT!,交差点で正面衝突意識不明です!!
,
WOW…,スゴイな…
MR. USHIDA IS AMAZING…,牛田さん…
,
"WHAT'RE YOU SMILIN' ABOUT, EIROKU?",何笑ってんだよ…永大出…
,
THIS HISPITAL IS AMAZING.,この病院はすばらしいです…
HOW IT NEVER TURNS AWAY AN AMBULANCE.,絶対に救急車の受け入れを拒否しない…
,
STOP TALKIN' LIKE A DAMN AMATEUR.,素人みてーな事言ってんじゃねーよ…
SHIT…,お前…
,
A DOCTOR'S ACTIONS ARE ALL BASED ON A POINT SYSTEM…,医者の診療行為は全部点数制になってる…
"IF YOU GIVE AN ENEMA, YOU GET 42 POINTS… DRAW BLOOD AND YOU GET 12 POINTS.",カンチョーしたら42点…採血したら12点
,
THE TOTAL NUMBER OF POINTS GETS PAID TO THE DOCTOR OUT OF HEALTH INSURANCE.,その点数の合計が医療保険から医者に支払われる
"ACROSS THE BOARD, 10 CENTS FOR EACH POINT.",一律一点10円だ
,
OKAY…,はぁ
,
BUT TRAFFIC ACCIDENTS ARE DIFFERENT.,ところが交通事故の場合はちょっと違う…
"THE MONEY ISN'T PAID OUT OF HEALTH INSURANCE, BUT OUT OF VEHICLE LIABILITY INSURANCE.",治療費は医療保険ではなく自動車損害賠償保険から支払われる
,
"SO THE PRICE IS LEFT UP TO THE ""DOCTOR'S DISCRETION""",“自由診療”って言ってな…
"IN THIS CASE, A DOCTOR CAN JUST DECIDE ON HIS OWN HOW MUCH A SINGLE POINT SHOULD COST.",この場合は”一点単価”要するに一点の値段を医者が勝手に決められる
,
IN OTHER WORDS…,…って事はつまり…
"WHEN A DOCTOR IS DEALING WITH A PATIENT FROM A TRAFIC ACCIDENT, HE CAN CHARGE HOWEVER MUCH MONEY HE WANTS…?",交通事故の場合は好きなだけ医療費がとれるって事ですか…?
,
DIDN'T YOU NOTICE?,気づいていたか…?
THE ONLY PATIENTS WE ACCEPT ARE FROM TRAFFIC ACCIDENTS.,ウチが受け入れているのは交通事故の患者だけだ…
,
"AT THIS HOSPITAL, WE CHARGE 40 CENTS FOR EACH POINT IN TRAFFIC ACCIDENTS.",この病院は交通事故の場合一点単価は40円
WE'RE OVERCHARGING THEM FOUR TIMES THE NORMAL RATE.,いまだに普通の4倍もぼったくってる
,
"IN THE END, IT'S ALL FOR THE MONEY.",結局金なんだよ…
IT'S NOT LIKE WE'RE DOING THIS AS A PUBLIC SERVICE…,社会奉仕でやってるわけじゃねぇ…
,
I MADE 94 DOLLARS.,バイト代は8万円だった
"IN JUST ONE NIGHT, I MADE OVER TWICE MY MONTHLY SALARY AS AN INTERN…",たった一晩で研修医としての月給の2倍以上を稼いだ
,
I ONLY SLEPT 4 HOURS AGAIN LAST NIGHT…,きのうも睡眠時間3時間…
INTERNS HAVE GOTTA BE THE UNHEALTHIEST PEOPLE IN THE WORLD…,この世で一番不健康なのは研修医だな…
,
SO…?,で…?
HOW WAS THE PARTTIME JOB?,そっちはどうだった…?バイト…
,
…,…
UH…,うん
,
WHO'S THAT?,誰だろう…?
LOOKS LIKE ANOTHER PATIENT DIED…,また亡くなっちゃったんだな…
,
ME TAKING THIS $948…,受けとっちゃっていいのかな…
IS IT REALLY OKAY?,この8万円…
,
WHY NOT…?,いーんじゃねーのー…
YOU WORKED PRETTY HARD FOR IT.,そんだけ働いたんだし…
,
"YEAH, BUT…",だけど…
THIS KINDA MONEY IS…,こんなお金…
,
I…,僕は…
I DON'T WANT TO BECOME A CORRUPT DOCTOR…,汚い大人になんかなりたくない…
,
YOU KNOW WHAT?,オレさ…
"TO BE HONEST, I NEVER REALLY WANTED TO BE A DOCTOR…",正直言って医者になりたいって思った事ないのよ…
,
"I JUST RODE THE EXAM WAR ESCALATOR, TRYING MY HARDEST TO GET TO THE TOP…",受験戦争のエスカレーターに乗ってひたすら上を目指してさ…
"NEXT THING I NEW, I'D BECOME A DOCTOR…",気がついたら医者になってた…
,
A DOCTOR HUH…?,医者って…
WHAT DOES THAT EVEN MEAN…?,一体なんなんだろうな…
,
I'LL GIVE YOU $1186 TONIGHT.,今夜は10万円出そう…
Seiwa Hospital,誠同病院
WHAT!?,え!?
,
IT'S GONNA BE JUST YOU FROM TONIGHT ON.,今夜から君一人だ
IF THAT'S NOT ENOUGH I CAN GIVE YOU MORE.,不満ならもっと出すぞ
,
NO…,いえ…
THAT'S NOT WHAT I…,そんなんじゃ…
,
UNEASY BY YOURSELF?,一人じゃ不安か?
,
"THERE ARE CURRENTLY 240,000 DOCTORS IN JAPAN.",現在日本には24万の医師がいる
WHAT DOES THAT NUMBER TELL YOU?,君はこの数字をどう思う?
,
THAT THERE’S ABOUT ONE DOCTOR FOR EVERY 500 PEOPLE.,人口500人につき一人の医師…
THAT CAN’T BE BEATEN BY ANY OTHER FIRST-WORLD COUNRY.,これは他の先進国に引けを取りません…
"IT'S PRETTY IMPRESSIVE, I THINK.",たいしたものだと思います…
,
GOOD ANSWER.,模範解答だな…
BUT YOU’RE FORGETTING SOMETHING IMPORTANT…,だけど大事な事を忘れている…
,
THE NUMBER OF HOSPITALS.,病院の数だ
,
"JAPAN HAS A LOT OF DOCTORS, BUT IT ALSO HAS A RIDICULOUS NUMBER OF HOSPITALS.",日本は医者も多いが病院の数もべらぼうに多い
THAT'S WHY EVEN A HOSPITAL AS BIG AS OURS ONLY HAS THREE DOCTORS.,だからうちほどの規模の病院に勤務医はたったの3人だ
,
TO PUT IT SIMPLY…,つまり…
THE NUMBER OF DOCTORS TO A SINGLE HOSPITAL IN JAPAN IS EXTREMELY SMALL.,日本は一つの病院あたりの数は極めて少ない
,
…,…
I KNOW THAT…,分かっています…
,
DOCTORS ARE PEOPLE TOO… WITH FAMILIES OF THEIR OWN.,医者だって家庭もあるし人間です…
THREE DOCTORS WOULDN’T BE ABLE TO COVER BOTH DAY SHIFTS AND NIGHT SHIFTS EVERY DAY.,たった3人で毎日日勤してその上夜勤までなんてカバーできません
,
I FEEL LIKE I JUST DID SOMETHING VERY BAD.,なんだか自分がとても悪い事をしている気がした
,
EMERGENCY ENTRANCE,救急用入口
,
I NEEDED MONEY FOR MY LIVING EXPENSES.,生活費が欲しかった
,
"AT NIGHT, THERE’RE ONLY INTERNS IN A HOSPITAL.",夜間の病院には研修医しかいない
"WITH THE EXCEPTION OF UNIVERSITY HOSPITALS, THAT’S NOT UNUSUAL…",それは大学病院などを除けば珍しい事ではない…
,
"QUITE THE OPPOSITE. FOR HOSPITALS IN JAPAN, IT’S JUST COMMON SENSE.",むしろ日本中の病院でそれが常識なのだ…
"IF YOU DON’T WANT TO DIE, DON’T RIDE YOUR CAR AT NIGHT.",死にたくなければ夜間に車に乗ってはいけない…
,
"IF YOU DO HAPPEN TO GET IN AN ACCIDENT, THE CHANCE OF YOU BEING SEEN BY AN EXPERIENCED DOCTOR IS…",万が一事故を起こしたとしてもまともな医者に診察してもらえる可能性は
CLOSE TO ZERO…,ほとんどない…
,
This is night in Japan.,それがこの国の夜だ…
"In a survey of 79 university hospitals from all around the country, no more than 2% forbade their interns from part-time work.",全国の79の大学附属病院に対するアンケートの結果、研修医のアルバイトが禁止されているのは全体の2%に過ぎず、
80% of the interns involved in part-time work had treated patients with no supervision.,アルバイトに出た研修医のうちの80%が単身医療を経験しているという
,
"Additionally, over 90% of the interns treating patients unsupervised, treated their patients while in a state of unease.",しかも単独診療を経験した研修医の実に90%以上が不安を抱えながら診療をしている実態にある
(Data taken from a survey of the Association of Independent Japanese Medical Students),(全日本医学生自治会連合によるアンケートより)
,
THERE WAS A TRAFFIC ACCIDENT. MALE. MID 20S.,事故です 20代の男性
"TRAUMA, BRUISING, POSSIBLY MULTIPLE BONE FRACTURES ALL OVER HIS BODY.",外傷 打撲 全身に骨折の可能性があります
,
LEVEL 30.,レベル30
RESPIRATION: 24. PULSE: 120.,呼吸24 脈拍120です
,
GET THIS MAN TO THE HOSPITAL IMMEDIATELY!,本部急いで下さい!
WE'RE READY TO GO!,こっちは出発できる状態です!
,
WE'RE PREPARED TO ACCEPT THE PATIENT!,受け入れ準備できました!!
THE AMBULANCE WILL BE HERE IN 10 MINUTES!,あと10分で救急車が来ます!!
,
"DOCTOR, PLEASE HURRY TO THE OPERATING ROOM!",先生!! 早く手術場に入って下さい!!
"I GOT IT, OKAY?!",分かってます!!
,
"UHM, HELLO?",あ もしもし
IS MR. USHIDA…,牛田先生のお宅で…
HEY-HEY! YOU’VE REACHED THE USHIDA RESIDENCE. IF YOU…,イエーイ 牛田です 只今留守にしています ご用の方は…
,
"MR. USHIDA, PLEASE WAKE UP!!",起きて下さい先生!!
THIS IS AN EMERGENCY!! WE MAY HAVE TO OPERATE!!,急患です!!オペが必要な可能性があります!!
,
DAMMIT!!,クソッ!!
,
DOCTOR!,来ました!
THE AMBULANCE IS HERE!!,救急車到着です!!
,
HIS INTERNAL ORGANS HAVE PURTURED,内臓破裂
,
I CANNOT COME TO THE PHONE RIGHT,只今留守にしております
PLEASE LEAVE A MESSAGE AFTER THE BEEP.,ご用のある方はピーッという発信音の後にメッセージをどうぞ
,
THAT… DOCTOR… WHAT’S GOING ON…?,どうしたのかしら…あの先生…
HE'S NOT COMING BACK.,戻ってこないわ
SHIT… THE DIRECTOR ISN’T HOME EITHER.,くそ…院長もいない
,
ICAN’T DO IT…,無理だ…
,
HIS LIVER’S RUPTURED AND THERE’S A HOLE SOMEWHERE IN HIS DIGESTIVE TRACT…,肝臓が破裂して消化管も何処か穴が開いてる
I’VE… I’VE NEVER DONE THIS KIND OF MAJOR OPERATION BEFORE…,こんな大手術…僕…やった事ない…
,
WHAT AM I GONNA DO…?,どうすりゃいいんだ…?
HE'S GOING TO DIE…,このままでは死んでしまう…
,
I JUST CAN’T DO IT…,無理だ…
,
!!,!!
,
DIRECOR…,院長...
,
I GOT A CALL FROM THE HEAD NURSE…,婦長から電話があった…
,
IN SURGERY,手術中
,
SO THIS IS WHERE YOU WERE…,そんな所にいたのか…
DR. SAITO.,斉藤くん…
,
UHM UH…,あ…あの…
HOW’S THE PATIENT?,患者さんは…?
,
WHY DIDN’T YOU OPERATE?,なぜオペをしなかった…?
,
"IF YOU JUST IGNORE HIM, HE’S GONNA DIE.",ほっといても死ぬ…
"AND IF HE’S GOT TO DIE, YOU MIGHT AS WELL CUT HIS ABDOMEN OPEN…",どうせ死ぬなら腹を開けろ…
,
BECAUSE…,だって…
"IF I SCREW UP, THEN I’M A MUDERER.",失敗したら殺人ですよ…
,
IT’S BETTER THAN DOING NOTING.,なんにもしないよりマシだ…
YOU WERE JUST GONNA LET THAT PATIENT DIE WITHOUT EVEN TRYING TO HELP…,君はあの患者を見殺しにしようとした…
,
NO!!!,違う!!
IT'S THE HOSPITAL’S FAULT FOR LEAVING AN INTERN LIKE ME HERE ALONE ALL NIGHT!,夜中に僕みたいな研修医を一人しか置かない病院が悪いんだ!!
,
"IF YOU DON'T HAVE ENOUGH DOCTORS, YOU SHOLDN’T EVEN ACCEPT ANY PATIENTS!",医者が足りないなら救急車なんて受け入れなきゃいいんだ!!
"BUT ALL YOU CARE ABOUT IS MONEY, RIGHT!?",院長はお金が欲しいだけじゃないですか!!
,
SO?,で?
,
WE'RE SAVING PEOPLE’S LIVES.,人の命を救うんだ…
WHAT’S WRING WITH OVERCHARGING FOR IT?,金をふんだくって何が悪い?
,
WHAT DOES ME TAKING SOMEONE’S MONEY…,そもそもオレが金をとる事と
AND YOU NOT OPERATING ON THAT PATIENT HAVE ANYTHING TO DO WITH EACH OTHER?,お前がオペをしなかった事に何の関係がある?
,
YOU’RE A DOCTOR…,お前は医者だ…
"WHETHER YOU’RE NEW OR INEXPERIENCED, TO THE PATIENT, YOU’RE STILL A DOCTOR.",新人だろうが半人前だろうが患者にとってお前は医者だ
,
"YOU THINK THAT IF YOU SCREW UP THE OPERATION, YOU’RE A MURDERER?",オペに失敗したら殺人だと?
"WHEN IT COMES DOWN TO IT, IT’S THAT PATIENT’S FAULT FOR CAUSING THE ACCIDENT IN THE FIRST PLACE.",もとはと言えば悪いのは事故を起こした本人だ…
,
DO THE OPERATIONS NO MATTER WHAT.,必ずオペはしろ…
DON'T GIVE ME ANY MORE OF YOUR FANCY PHILOSOPHICAL ARGUMENTS.,聞こえのいい正論を口にするな
,
BEING RIGHT JUST MEANS BEING WEAK.,正しいってのは弱いって事だ
,
BEING STRONG…,強いってのは
MEANS BEING WRONG.,悪いって事だ
,
"SINCE THE MOMENT YOU GOT YOUR MEDICAL LICENSE, YOU STOPPED BEING A NORMAL PERSON.",医師免許を取った瞬間からお前は普通の人間ではない
YOU'RE A DOCTOR.,医者なんだ
,
BE STRONG.,強くなれ…
,
"HEY, ‘SUP?",おーっす
EIROKU GARD!,永大出〜
,
MR. USHIDA…,牛田さん…
,
SORRY ‘BOUT LAST NIGHT…,ゆうべは悪かったなー…
I GOT SO DRUNK I DIDN’T EVEN NOTICE YOUR PHONE CALL.,うっかり深酒しちまって電話に気づかんかったー…
,
WHAT?,なんだよ?
YOU DEPRESSED AGAIN?,また落ち込んでんのか?
,
A LONG TIME AGO…,昔さ…
I ARGUED WITH WHAT THE DIRECTOR WAS DOING TOO…,オレもかみついた事があるんだよ…
,
“THE WAY YOU’RE DOING THINGS IS WRONG.”,あんたのやり方は間違ってる…
“HOSPITALS AREN’T A TOOL FOR MAKIN’ MONEY.”,医者は金もうけの道具じゃない
Y’KNOW? THAT’S WHAT I T0LD HIM…,…って院長にな…
,
I STILL THINK HE’S WRONG…,今でも正しくないと思っている…
"BUT, YOU KNOW WHAT?",だけどよ…
JUST TRYING TO SATISFY YOURSELF BY BEING RIGHT ISN’T GOING TO CHANGE ANYTHING.,正しいって事で自己満足しても何も変わらねえ…
,
THE TRUTH IS…,あの人は命を救い続けている…
THAT MAN IS SAVING PEOPLE’S LIVES…,それは事実なんだ…
,
YOU'RE OKAY!!!,無事だったのね!!
"HIROSHI, YOU’RE REALLY OKAY!!",無事だったのねヒロシ!!
,
WHAT THE HELL…?,なんなんだ…
,
WHAT DOES IT EVEN MEAN,医者って一体
TO BE A DOCTOR…?,なんなんだ…?
